Unique,Site,MaxDiameter,FlareLength,RimThick,ThickBelowFlare,FlareAngle,MaxIncising,MaxTrailing
1246,Orendorf D,28,41.5,6.7,NA,136,NA,NA
1247,Orendorf D,24,42.5,6,NA,134,NA,NA
1248,Orendorf D,21,NA,7.7,NA,NA,NA,NA
1249,Orendorf D,28,35.5,5.8,NA,140,NA,NA
1250,Orendorf D,35,46.8,6.5,NA,NA,NA,NA
1251,Orendorf D,38,33.6,7.2,NA,147,NA,NA
1252,Orendorf D,30,39.8,6.1,NA,NA,NA,NA
1253,Orendorf D,32,26.6,8.1,NA,156,NA,NA
1254,Orendorf D,32,26.6,6.3,NA,NA,NA,NA
1255,Orendorf D,35,42.9,6.7,NA,127,NA,NA
1256,Orendorf D,28,25.6,6.2,NA,146,NA,NA
1257,Orendorf D,26,22.6,5.4,NA,NA,NA,NA
